"종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","종목코드"
"KCTC",4285,25,0.0059,500,1286,30000,0.0057,7941657,15.25,3.75,"009070"
"미래에셋 레버리지 원유선물혼합 ETN(H)",3115,20,0.0065,0,1277,41000,0,265337,NA,NA,"520009"
"TCC스틸",5520,10,-0.0018,1000,1270,23000,0.0034,1505168,345,4.42,"002710"
"KC그린홀딩스",5630,160,0.0293,500,1263,22435,0.0305,685788,-18.4,4.61,"009440"
"대양금속",4245,5,0.0012,500,1255,29566,0.0048,10214948,80.09,7.06,"009190"
"KODEX Fn성장",18690,440,-0.023,0,1252,6700,0,1661,NA,NA,"325010"
"TIGER 200선물레버리지",20460,940,-0.0439,0,1248,6100,0,564327,NA,NA,"267770"
"일진전기",3345,40,-0.0118,1000,1240,37080,0.0266,148096,-72.72,1.19,"103590"
"새론오토모티브",6450,190,0.0304,500,1238,19200,0.6839,840223,-26.65,-3.82,"075180"
"TIGER 미국S&P500",10485,100,-0.0094,0,1237,11800,0,284054,NA,NA,"360750"
"부산산업",117000,1500,-0.0127,5000,1236,1056,0.0069,7359,45.03,7.2,"011390"
"제주은행",3830,140,-0.0353,5000,1231,32129,0.0192,271540,5.4,5.76,"006220"
"NPC",3345,0,0,500,1228,36720,0.0294,68603,9.56,5.29,"004250"
"에이플러스에셋",5390,30,-0.0055,500,1219,22608,6e-04,75415,7.16,NA,"244920"
"보해양조",956,16,0.017,500,1218,127449,0.0122,2701950,-7.9,-19.66,"000890"
"한양증권",9570,210,-0.0215,5000,1218,12729,0.0529,85628,2.95,7.85,"001750"
"SG충방",2705,225,0.0907,500,1216,44964,0.0049,33958102,-112.71,0.59,"001380"
"솔루스첨단소재1우",16500,250,-0.0149,100,1215,7366,0.0456,36275,47.69,NA,"33637K"
"이건산업",10900,200,0.0187,5000,1194,10953,0.0515,679271,47.81,0.44,"008250"
"황금에스티",8510,380,-0.0427,500,1191,14000,0.0306,329093,12.72,10.23,"032560"
"TIGER 코스닥150 레버리지",16980,760,-0.0428,0,1189,7000,0.0608,399030,NA,NA,"233160"
"극동유화",3405,10,-0.0029,500,1187,34869,0.0226,71295,9.81,8.75,"014530"
"한미글로벌",10800,0,0,500,1183,10958,0.0307,944724,15.95,20.64,"053690"
"신한 레버리지 은 선물 ETN(H)",11820,160,0.0137,0,1182,10000,3e-04,140116,NA,NA,"500029"
"TRUE 코스피 양매도 5 OTM ETN",7865,30,-0.0038,0,1180,15000,0,24172,NA,NA,"570019"
"에넥스",1955,200,0.114,500,1173,59992,0.0078,131710308,-17.15,-6.42,"011090"
"태경비케이",4250,105,0.0253,500,1172,27583,0.0158,885002,27.6,3.08,"014580"
"KODEX 단기변동금리부채권액티브",102375,5,0,0,1168,1141,0,4,NA,NA,"273140"
"서원",2450,75,-0.0297,500,1163,47475,0.0222,702219,-122.5,3.06,"021050"
"STX",5880,10,0.0017,2500,1160,19727,0.0018,19112,-6.8,-54.53,"011810"
"S&TC",15450,150,-0.0096,500,1160,7507,0.0251,25275,7.09,NA,"100840"
"한국ANKOR유전",1635,0,0,0,1145,70020,4e-04,25971,NA,NA,"152550"
"상상인증권",1190,30,-0.0246,1000,1144,96108,0.0036,862098,21.25,-6.42,"001290"
"KINDEX 삼성그룹섹터가중",17290,235,-0.0134,0,1141,6600,0,37405,NA,NA,"108450"
"미래에셋 코스피 양매도 5 OTM ETN",7600,0,0,0,1140,15000,0,0,NA,NA,"520026"
"영흥",1225,40,0.0338,500,1136,92734,0.0126,894720,-13.61,0.64,"012160"
"텔코웨어",11700,50,-0.0043,500,1135,9703,0.0118,19997,41.79,3.86,"078000"
"KODEX 국채선물10년인버스",46265,10,-2e-04,0,1133,2448,0,1694,NA,NA,"176950"
"웰바이오텍",2490,20,-0.008,500,1128,45310,0.0099,503152,-2.38,-20.27,"010600"
"이지스밸류리츠",4700,10,-0.0021,1000,1128,24000,0.0229,86411,NA,47.51,"334890"
"미창석유",64700,400,0.0062,5000,1126,1740,0.3143,1648,5.82,NA,"003650"
"시디즈",56200,600,0.0108,500,1124,2000,0.0096,7667,7.95,27.34,"134790"
"무림페이퍼",2700,70,-0.0253,2500,1123,41609,0.0558,190065,-5.11,-2.17,"009200"
"기신정기",3840,70,-0.0179,500,1121,29200,0.6366,100430,15.06,3.69,"092440"
"TIGER 200선물인버스2X",2210,90,0.0425,0,1120,50700,0.0246,32377808,NA,NA,"252710"
"경동도시가스",18900,100,-0.0053,2500,1114,5895,0.1549,29602,6.3,7.45,"267290"
"삼영화학",3275,190,-0.0548,500,1114,34000,0.046,886037,363.89,-4.49,"003720"
"KODEX 반도체",35345,5,1e-04,0,1113,3150,0.0018,227138,NA,NA,"091160"
"유유제약",13850,50,-0.0036,1000,1113,8035,0.0071,54700,34.37,5.41,"000220"
"크라운제과",8830,20,-0.0023,200,1106,12524,0.0085,8350,5.7,14.02,"264900"
